1,Pareramin,12,36.9816
2,Enderollan,7,94.742
3,Qwitanimistor,14,61.8967
4,Rapsapedar,21,52.7937
5,Adsapepax,24,34.4764
6,Monsapinex,21,138.8766
7,Grotanedex,1,131.1955
8,Qwifropedax,6,62.5488
9,Surtumamin,3,109.4729
10,Upvenegicator,11,89.4198
11,Grodudadower,11,52.3018
12,Reglibiman,22,108.3331
13,Thrudimedgover,29,91.2432
14,Frojubican,22,79.395
15,Klikiledgax,3,95.545
16,Fromunepar,19,138.7952
17,Rapsapeficator,26,7.7293
18,Inkilopover,3,94.0252
19,Thrucadaman,8,33.7888
20,Zeewerollover,5,73.4118
21,Adcadewax,7,53.4853
22,Hapvenopar,31,9.8746
23,Barquestepower,3,95.0709
24,Rapdimommar,19,83.4484
25,Qwifropopistor,12,107.9008
26,Parjubexex,10,105.7226
27,Unsapewazz,4,50.2341
28,Parmunewan,8,78.0141
29,Endtanegin,21,13.6521
30,Barsipopover,18,131.6765
31,Hapdimexor,24,58.7475
32,Empickedgentor,6,106.6043
33,Frovenupar,11,12.7469
34,Supvenanantor,3,64.2169
35,Barwerponazz,30,122.1679
36,Winfropollower,14,99.1392
37,Barrobplover,19,146.3491
38,Tupbanopar,17,24.5866
39,Barrobexex,25,89.217
40,Trudimaquantor,13,80.6276
41,Supdimplazz,33,12.1794
42,Parquestimantor,12,82.2362
43,Unrobommar,15,90.8163
44,Adtinedistor,11,59.0584
45,Emdimiman,1,43.8727
46,Cipjubinax,7,148.1549
47,Lomvenaquex,25,24.012
48,Emmunplax,22,90.2541
49,Inkilexan,23,79.9103
50,Frohupadentor,20,48.6007
51,Dopglibplax,2,105.6234
52,Truglibplantor,12,20.2769
53,Surpickedex,29,33.9306
54,Emvenilax,33,53.1203
55,Trudimackin,24,130.5631
56,Dopfropimex,26,32.1069
57,Emkilexower,31,149.6711
58,Surtanonar,16,128.4483
59,Endzapopex,26,94.893
60,Surfropexor,8,78.7538
61,Advenommantor,29,93.6424
62,Thruwerpplan,20,58.1814
63,Qwizapollin,1,53.8966
64,Inquestackicator,1,127.7964
65,Surpickedgan,18,35.6723
66,Zeerobamazz,31,95.6975
67,Endwerpollazz,9,100.5862
68,Dopsapicin,30,32.0263
69,Zeemunamentor,31,107.2272
