1216;40
1589;753
1131;794
1290;1443
146;694
646;7
797;583
1485;1068
189;742
34;298
588;68
5;1158
613;447
1106;1495
340;103
100;1315
523;480
1175;266
364;513
595;312
551;1519
585;335
1728;1587
1126;356
1196;1686
1185;490
1753;550
671;463
22;132
1066;499
69;226
985;836
1613;1393
1871;153
254;525
711;259
1566;409
151;1171
108;562
5;219
730;76
745;812
102;1491
1081;863
585;550
271;55
322;114
1298;1499
421;1455
1532;667
338;128
812;314
363;1014
831;805
476;517
1593;1247
827;337
991;684
1320;1000
319;208
1354;1001
587;11
1274;1165
1722;200
1059;517
1059;190
611;934
1263;600
568;370
446;1085
400;560
191;695
534;897
1506;857
20;802
1448;1900
1357;1719
972;926
1612;1784
100;63
619;501
478;1475
1368;1419
349;321
893;1339
87;1097
1533;1126
1540;574
643;283
536;961
1462;1513
1771;1759
1609;383
1033;1382
1677;277
26;599
634;808
1582;609
175;563
1117;1458
789;155
1083;142
838;1578
584;925
99;918
791;622
727;378
1034;992
1002;424
514;177
1185;22
726;1807
272;327
1042;774
488;507
1003;701
17;494
1227;501
8;1243
1293;694
600;1534
16;224
953;677
779;24
1426;1308
770;1262
621;1428
1344;1567
523;1575
787;9
1069;213
1743;1072
929;117
1126;557
1372;1240
1763;96
1315;157
218;706
383;4
91;587
301;1322
1540;58
784;572
1113;708
1311;1072
1562;1259
797;217
1364;570
772;347
531;1085
981;454
118;200
1466;754
1097;1096
1122;1617
1243;1499
183;1363
699;1125
775;1315
426;552
412;1238
128;1668
317;482
1021;1089
1751;534
669;765
1467;1681
997;553
603;1004
1691;1589
1045;668
1577;1168
624;71
134;834
1340;685
1720;878
250;1003
1372;716
708;654
785;692
1090;992
992;1090
700;1123
1621;1262
278;126
1393;1119
900;307
797;967
337;1155
520;1490
1311;1797
835;268
1203;1050
885;945
637;1098
71;624
540;527
987;84
64;1736
1257;1332
1114;547
894;1168
171;200
1626;1745
666;476
111;1015
271;508
1391;1694
1352;1059
412;525
879;1434
1069;32
1055;497
1093;954
721;825
1626;1461
441;18
1035;410
1025;191
956;1100
395;664
314;206
106;404
217;964
64;839
1274;147
1449;1077
280;1297
393;466
587;1340
1078;1745
720;1125
1060;804
1139;415
1113;490
493;1525
1145;621
937;685
1765;1626
1857;750
1288;303
496;1049
609;639
1230;540
93;822
394;160
1770;1922
1545;705
74;31
1068;466
794;918
810;49
5;1515
538;934
1609;1368
177;178
1886;1411
1269;314
315;1829
1345;206
168;184
854;1576
1245;1572
386;1802
627;1485
436;116
1079;496
347;105
1026;537
314;1617
118;709
1947;1184
1016;688
1758;1760
860;568
163;136
1548;822
424;253
1390;327
219;452
94;1549
1022;312
476;90
1512;1265
1429;247
1156;75
869;1356
298;126
303;814
961;536
569;1278
944;159
349;1386
314;166
1538;641
1637;168
1001;830
225;978
1453;44
1559;1466
377;699
395;466
1183;830
128;1262
1392;1298
315;1043
1501;1799
1537;514
