1,2859,9771,2015-11-19 11:17:36.490000000
2,2950,4726,2015-02-03 20:43:09.300000000
3,4868,2941,2014-05-09 21:04:20.920000000
4,296,4959,2015-12-11 20:33:08.390000000
5,3247,70,2015-05-24 08:03:50.130000000
6,4860,542,2014-11-27 18:26:29.370000000
7,3904,8647,2015-10-17 02:19:59.350000000
8,723,3984,2014-02-27 10:07:45.670000000
9,2969,331,2014-03-08 21:40:44.340000000
10,4693,2006,2015-05-16 13:06:36.130000000
11,323,7773,2015-02-16 13:34:33.680000000
12,2247,4931,2014-07-25 11:14:59.440000000
13,2118,2370,2014-04-15 07:45:17.080000000
14,3148,2085,2015-07-31 20:04:13.510000000
15,4748,1450,2015-10-17 14:15:26.420000000
16,2125,6271,2015-09-19 05:44:24.530000000
17,251,1215,2014-05-15 18:08:44.940000000
18,4670,6237,2014-04-25 09:36:31.840000000
19,3342,7878,2014-03-15 17:53:31.180000000
20,1153,4240,2015-05-22 13:02:45.120000000
21,2492,2328,2015-03-30 05:29:15.760000000
22,1333,4442,2015-03-26 18:40:30.550000000
23,1039,2899,2015-04-22 20:32:55.150000000
24,940,7713,2015-12-11 11:13:48.590000000
25,1659,3028,2015-11-24 13:47:45.820000000
26,1484,4289,2015-06-15 17:47:48.260000000
27,1056,238,2015-09-04 06:32:48.120000000
28,975,1178,2014-06-27 16:46:32.620000000
29,4517,3902,2015-01-14 05:19:47.730000000
30,4349,8075,2015-08-06 01:56:54.090000000
31,459,7740,2014-04-24 23:49:24.560000000
32,3897,7742,2015-03-29 01:11:59.680000000
33,1942,9851,2015-04-29 17:08:40.230000000
34,3874,482,2014-12-19 13:13:28.600000000
35,4910,2157,2015-10-13 22:46:19.610000000
36,4515,98,2015-05-25 22:08:26.930000000
37,876,196,2014-02-14 01:06:41.540000000
38,2444,5312,2014-03-18 21:24:10.470000000
39,3420,1096,2015-12-07 15:10:39.410000000
40,3514,6218,2014-08-27 11:45:32.590000000
41,2662,1372,2014-03-08 03:29:40.630000000
42,3231,813,2015-03-19 22:05:56.610000000
43,4667,8370,2015-07-19 20:59:25.060000000
44,4567,909,2015-06-15 18:53:51.950000000
45,3506,4254,2015-12-11 03:10:15.320000000
46,4609,9212,2015-11-25 20:11:56.500000000
