1,864,2014-07-07 11:43:34.300000000
2,237,2015-12-11 11:53:15.400000000
3,795,2015-06-17 11:54:41.640000000
4,140,2015-08-01 04:34:05.470000000
5,165,2015-03-14 08:57:38.460000000
6,354,2015-07-11 05:12:46.630000000
7,615,2014-04-13 22:24:54.190000000
8,66,2015-09-14 12:50:03.330000000
9,9,2014-03-08 07:46:38.540000000
10,193,2015-05-22 08:07:21.850000000
11,74,2014-09-25 18:04:01.570000000
12,460,2014-05-22 19:25:57.300000000
13,817,2014-09-19 06:41:44.300000000
14,449,2015-03-03 05:43:15.760000000
15,81,2014-02-05 21:01:06.560000000
16,621,2014-03-21 23:53:52.750000000
17,549,2015-12-31 23:47:15.320000000
18,256,2014-04-18 20:00:29.760000000
19,654,2015-09-27 17:18:19.890000000
20,581,2015-05-30 08:41:04.860000000
21,517,2014-11-24 17:54:47.040000000
22,758,2014-03-05 05:55:49.530000000
23,330,2015-07-21 19:00:54.090000000
24,535,2015-03-21 22:38:07.490000000
25,855,2015-12-20 06:14:13.940000000
26,479,2015-08-31 04:33:13.410000000
27,697,2015-09-12 16:54:29.930000000
28,920,2014-10-28 11:10:24.310000000
29,711,2014-12-03 19:04:57.800000000
30,873,2015-12-19 08:37:41.990000000
31,138,2014-07-10 04:47:46.460000000
32,683,2014-07-27 16:51:27.080000000
33,653,2015-08-24 08:26:55.060000000
34,819,2015-08-31 07:12:16.250000000
35,133,2014-05-29 21:55:39.510000000
36,927,2014-11-19 23:42:42.670000000
37,500,2015-11-02 23:54:51.680000000
38,131,2014-09-10 09:25:48.410000000
39,845,2015-12-28 10:51:00.470000000
40,408,2015-06-11 11:42:43.190000000
41,547,2015-08-10 16:51:25.450000000
42,998,2015-02-24 04:41:29.950000000
43,886,2015-06-02 21:04:14.170000000
44,1024,2014-06-02 00:34:33.670000000
45,396,2014-04-22 13:07:33.290000000
46,82,2015-04-14 21:47:59.520000000
47,174,2015-02-15 21:14:36.680000000
48,601,2014-06-26 20:13:34.020000000
49,279,2015-01-18 05:18:40.240000000
50,870,2015-01-15 13:05:15.060000000
51,892,2015-11-15 16:32:26.680000000
52,620,2014-07-21 07:29:34.010000000
53,674,2014-03-24 00:41:31.490000000
54,361,2015-06-08 18:19:39.180000000
55,812,2015-08-23 07:38:48.300000000
56,106,2014-06-04 05:47:44.760000000
57,908,2014-06-22 16:52:21.310000000
58,260,2014-04-28 13:16:34.150000000
59,286,2015-08-12 22:19:51.530000000
60,686,2015-07-15 04:24:25.060000000
61,657,2015-10-29 12:18:16.710000000
62,696,2015-06-17 11:14:29.890000000
63,355,2014-11-11 17:45:05.530000000
64,137,2014-03-20 23:08:56.560000000
65,56,2014-12-13 03:19:35.390000000
66,392,2014-04-01 01:12:34.480000000
67,808,2014-09-29 10:59:02.240000000
68,1042,2015-01-19 23:29:28.050000000
69,316,2014-11-04 07:47:36.250000000
70,154,2015-03-19 21:18:23.900000000
71,121,2014-05-19 23:59:01.070000000
72,419,2015-05-23 14:21:26.910000000
73,411,2014-04-22 09:09:29.290000000
74,247,2014-05-19 05:35:36.700000000
75,34,2015-10-20 15:49:39.410000000
76,520,2015-10-01 13:13:17.100000000
77,872,2014-10-03 08:51:35.370000000
78,1003,2015-03-21 18:26:20.410000000
79,1004,2014-12-30 09:30:34.190000000
80,773,2014-10-07 08:26:14.410000000
81,306,2014-08-15 07:18:36.720000000
82,97,2015-04-18 20:40:55.900000000
83,641,2015-10-11 05:51:44.070000000
84,841,2015-11-19 05:59:42.740000000
85,982,2014-03-05 16:05:15.300000000
